Business Date,Check Closed Count  (Sum),Net Sales Total  (Sum),Revenue Center Name
7/1/2017,59,613.81,ETC
7/2/2017,75,695.18,ETC
7/3/2017,179,"1,061.64",ETC
7/4/2017,1,63.42,ETC
7/5/2017,228,"1,546.13",ETC
7/6/2017,235,"1,891.25",ETC
7/7/2017,181,"1,488.94",ETC
7/8/2017,66,905.72,ETC
7/9/2017,65,623.82,ETC
7/10/2017,160,"1,127.28",ETC
7/11/2017,153,"1,222.28",ETC
7/12/2017,138,"1,057.54",ETC
7/13/2017,141,"1,002.88",ETC
7/14/2017,176,"1,668.74",ETC
7/15/2017,85,"1,034.31",ETC
7/16/2017,66,946.79,ETC
7/17/2017,188,"1,705.59",ETC
7/18/2017,159,"1,622.71",ETC
7/19/2017,154,"1,397.91",ETC
7/20/2017,214,"2,847.98",ETC
7/21/2017,184,"2,804.94",ETC
7/22/2017,73,"1,272.19",ETC
7/23/2017,47,591.14,ETC
7/24/2017,65,631.93,ETC
7/25/2017,81,502.91,ETC
7/26/2017,96,771.18,ETC
7/27/2017,89,776.35,ETC
7/28/2017,79,806.35,ETC
7/29/2017,0,0,ETC
7/30/2017,0,0,ETC
7/31/2017,55,434.03,ETC
8/1/2017,45,291.29,ETC
8/2/2017,45,380.59,ETC
8/3/2017,42,353.93,ETC
8/4/2017,15,179.94,ETC
8/5/2017,0,0,ETC
8/6/2017,0,0,ETC
8/7/2017,43,250.71,ETC
8/8/2017,48,284.9,ETC
8/9/2017,38,235.4,ETC
8/10/2017,51,293.94,ETC
8/11/2017,46,472.7,ETC
8/12/2017,0,0,ETC
8/13/2017,0,0,ETC
8/14/2017,43,201.96,ETC
8/15/2017,46,231.93,ETC
8/16/2017,66,579.03,ETC
8/17/2017,49,341.18,ETC
8/18/2017,56,493,ETC
8/19/2017,0,0,ETC
8/20/2017,83,567.55,ETC
8/21/2017,162,"1,261.54",ETC
8/22/2017,166,"1,323.24",ETC
8/23/2017,352,"3,088.39",ETC
8/24/2017,446,"3,179.57",ETC
8/25/2017,629,"5,365.45",ETC
8/26/2017,803,"6,764.96",ETC
8/27/2017,941,"8,442.85",ETC
8/28/2017,1039,"7,473.29",ETC
8/29/2017,1011,"7,077.53",ETC
8/30/2017,1049,"6,999.61",ETC
8/31/2017,1083,"7,109.40",ETC
9/1/2017,807,"5,477.86",ETC
9/2/2017,849,"5,717.25",ETC
9/3/2017,997,"7,492.84",ETC
9/4/2017,1147,"7,900.41",ETC
9/5/2017,1120,"7,182.31",ETC
9/6/2017,1125,"7,446.87",ETC
9/7/2017,1162,"7,162.79",ETC
9/8/2017,1057,"6,780.93",ETC
9/9/2017,874,"6,117.93",ETC
9/10/2017,1106,"8,308.62",ETC
9/11/2017,1309,"8,684.92",ETC
9/12/2017,1324,"8,193.81",ETC
9/13/2017,1287,"8,305.04",ETC
9/14/2017,1214,"7,212.35",ETC
9/15/2017,885,"5,061.27",ETC
9/16/2017,656,"4,136.67",ETC
9/17/2017,951,"6,881.01",ETC
9/18/2017,1224,"7,743.86",ETC
9/19/2017,1190,"7,415.42",ETC
9/20/2017,494,"3,114.00",ETC
9/21/2017,1204,"7,442.79",ETC
9/22/2017,961,"5,710.81",ETC
9/23/2017,727,"4,883.19",ETC
9/24/2017,1051,"7,145.24",ETC
9/25/2017,1304,"8,268.90",ETC
9/26/2017,1179,"7,064.19",ETC
9/27/2017,1322,"8,675.68",ETC
9/28/2017,1338,"8,019.90",ETC
9/29/2017,1039,"6,467.65",ETC
9/30/2017,770,"4,917.46",ETC
10/1/2017,1012,"6,874.91",ETC
10/2/2017,1301,"8,180.63",ETC
10/3/2017,1250,"7,446.99",ETC
10/4/2017,1242,"7,577.10",ETC
10/5/2017,1276,"7,892.81",ETC
10/6/2017,1071,"6,704.59",ETC
10/7/2017,875,"5,660.12",ETC
10/8/2017,1107,"7,519.46",ETC
10/9/2017,1341,"8,269.59",ETC
10/10/2017,1350,"8,013.52",ETC
10/11/2017,1369,"8,685.94",ETC
10/12/2017,1180,"7,773.02",ETC
10/13/2017,746,"7,012.30",ETC
10/14/2017,0,0,ETC
10/15/2017,0,0,ETC
10/16/2017,4,32.08,ETC
10/17/2017,697,"5,824.08",ETC
10/18/2017,1263,"8,504.30",ETC
10/19/2017,1348,"8,217.87",ETC
10/20/2017,1029,"6,570.77",ETC
10/21/2017,823,"5,759.19",ETC
10/22/2017,1076,"7,459.34",ETC
10/23/2017,1263,"7,957.24",ETC
10/24/2017,1282,"7,857.68",ETC
10/25/2017,1317,"8,598.49",ETC
10/26/2017,1254,"7,612.94",ETC
10/27/2017,1096,"7,126.37",ETC
10/28/2017,909,"5,752.73",ETC
10/29/2017,1033,"7,613.95",ETC
10/30/2017,1343,"8,980.65",ETC
10/31/2017,1247,"7,532.86",ETC
11/1/2017,1304,"7,815.08",ETC
11/2/2017,1301,"8,307.28",ETC
11/3/2017,1036,"6,508.55",ETC
11/4/2017,839,"5,720.08",ETC
11/5/2017,1083,"7,550.32",ETC
11/6/2017,1342,"8,518.40",ETC
11/7/2017,1298,"8,195.86",ETC
11/8/2017,1198,"7,806.34",ETC
11/9/2017,1252,"8,024.57",ETC
11/10/2017,1043,"6,623.94",ETC
11/11/2017,739,"5,066.19",ETC
11/12/2017,1044,"7,523.20",ETC
11/13/2017,1278,"8,736.26",ETC
11/14/2017,1264,"7,976.69",ETC
11/15/2017,1252,"8,092.34",ETC
11/16/2017,1247,"8,026.10",ETC
11/17/2017,1013,"6,561.59",ETC
11/18/2017,817,"5,699.39",ETC
11/19/2017,1005,"6,805.09",ETC
11/20/2017,1153,"7,790.59",ETC
11/21/2017,517,"3,993.12",ETC
11/22/2017,0,0,ETC
11/23/2017,0,0,ETC
11/24/2017,0,0,ETC
11/25/2017,0,0,ETC
11/26/2017,616,"4,905.51",ETC
11/27/2017,1258,"8,554.38",ETC
11/28/2017,1295,"8,263.46",ETC
11/29/2017,1188,"7,573.36",ETC
11/30/2017,1274,"8,450.92",ETC
12/1/2017,1083,"7,259.73",ETC
12/2/2017,800,"5,698.93",ETC
12/3/2017,1022,"6,891.34",ETC
12/4/2017,1167,"7,682.53",ETC
12/5/2017,1157,"6,805.84",ETC
12/6/2017,1114,"7,265.94",ETC
12/7/2017,1122,"7,455.12",ETC
12/8/2017,1010,"7,899.95",ETC
12/9/2017,918,"6,677.51",ETC
12/10/2017,1028,"7,017.87",ETC
12/11/2017,1114,"6,791.16",ETC
12/12/2017,949,"6,784.65",ETC
12/13/2017,988,"6,143.98",ETC
12/14/2017,1019,"6,720.83",ETC
12/15/2017,786,"5,567.31",ETC
12/16/2017,410,"3,314.09",ETC
12/17/2017,394,"3,480.39",ETC
12/18/2017,410,"3,837.65",ETC
12/19/2017,254,"2,145.73",ETC
12/20/2017,130,"1,357.40",ETC
12/21/2017,29,177.7,ETC
12/22/2017,0,0,ETC
12/23/2017,0,0,ETC
12/24/2017,0,0,ETC
12/25/2017,0,0,ETC
12/26/2017,0,0,ETC
12/27/2017,0,0,ETC
12/28/2017,0,0,ETC
12/29/2017,0,0,ETC
12/30/2017,0,0,ETC
12/31/2017,0,0,ETC
1/1/2018,0,0,ETC
1/2/2018,14,83.3,ETC
1/3/2018,19,159.83,ETC
1/4/2018,0,0,ETC
1/5/2018,12,79.4,ETC
1/6/2018,0,0,ETC
1/7/2018,0,0,ETC
1/8/2018,34,165.46,ETC
1/9/2018,53,308.41,ETC
1/10/2018,29,209.21,ETC
1/11/2018,47,448.85,ETC
1/12/2018,53,494.49,ETC
1/13/2018,0,0,ETC
1/14/2018,746,"6,796.92",ETC
1/15/2018,1060,"8,635.85",ETC
1/16/2018,1237,"9,524.91",ETC
1/17/2018,1155,"8,059.39",ETC
1/18/2018,1186,"8,535.35",ETC
1/19/2018,1063,"7,594.07",ETC
1/20/2018,948,"7,026.76",ETC
1/21/2018,1070,"7,881.01",ETC
1/22/2018,1471,"10,302.52",ETC
1/23/2018,1449,"10,086.03",ETC
1/24/2018,1319,"9,519.96",ETC
1/25/2018,1413,"9,988.62",ETC
1/26/2018,1227,"8,869.65",ETC
1/27/2018,908,"6,841.35",ETC
1/28/2018,1187,"8,988.14",ETC
1/29/2018,1394,"9,611.87",ETC
1/30/2018,1443,"9,965.23",ETC
1/31/2018,1554,"11,135.73",ETC
2/1/2018,1440,"10,492.37",ETC
2/2/2018,1179,"8,886.31",ETC
2/3/2018,824,"6,545.84",ETC
2/4/2018,1111,"9,512.88",ETC
2/5/2018,1470,"10,358.04",ETC
2/6/2018,1531,"10,626.06",ETC
2/7/2018,1486,"10,991.38",ETC
2/8/2018,1390,"10,800.95",ETC
2/9/2018,1295,"9,384.02",ETC
2/10/2018,1027,"8,034.55",ETC
2/11/2018,1314,"10,454.49",ETC
2/12/2018,1513,"11,104.72",ETC
2/13/2018,1498,"10,172.29",ETC
2/14/2018,1443,"10,762.08",ETC
2/15/2018,1516,"10,498.48",ETC
2/16/2018,1234,"9,386.03",ETC
2/17/2018,965,"7,239.89",ETC
2/18/2018,1230,"9,360.02",ETC
2/19/2018,1500,"10,601.68",ETC
2/20/2018,1563,"10,920.94",ETC
2/21/2018,1615,"10,857.12",ETC
2/22/2018,1562,"11,425.43",ETC
2/23/2018,1251,"8,751.86",ETC
2/24/2018,1056,"7,424.80",ETC
2/25/2018,1328,"9,880.64",ETC
2/26/2018,1562,"10,682.42",ETC
2/27/2018,1588,"10,616.67",ETC
2/28/2018,1560,"10,593.74",ETC
3/1/2018,1569,"10,481.15",ETC
3/2/2018,1335,"9,354.98",ETC
3/3/2018,1027,"7,447.56",ETC
3/4/2018,1380,"9,724.99",ETC
3/5/2018,1535,"9,681.23",ETC
3/6/2018,1493,"9,862.14",ETC
3/7/2018,1611,"10,932.35",ETC
3/8/2018,1523,"12,342.83",ETC
3/9/2018,907,"9,216.99",ETC
3/10/2018,0,0,ETC
3/11/2018,0,0,ETC
3/12/2018,25,265.21,ETC
3/13/2018,42,519.63,ETC
3/14/2018,17,88.87,ETC
3/15/2018,14,111.06,ETC
3/16/2018,6,89.05,ETC
3/17/2018,8,80.72,ETC
3/18/2018,1138,"10,445.28",ETC
3/19/2018,1616,"11,131.79",ETC
3/20/2018,1522,"11,395.77",ETC
3/21/2018,1390,"9,906.24",ETC
3/22/2018,1600,"10,331.24",ETC
3/23/2018,1316,"9,496.73",ETC
3/24/2018,1000,"7,202.59",ETC
3/25/2018,1214,"9,268.65",ETC
3/26/2018,1639,"11,147.61",ETC
3/27/2018,1548,"9,905.29",ETC
3/28/2018,1590,"10,767.34",ETC
3/29/2018,1569,"10,647.39",ETC
3/30/2018,1286,"9,370.57",ETC
3/31/2018,893,"6,636.94",ETC
4/1/2018,1054,"8,074.55",ETC
4/2/2018,1557,"10,474.66",ETC
4/3/2018,1597,"10,502.27",ETC
4/4/2018,1529,"10,569.66",ETC
4/5/2018,1543,"10,949.53",ETC
4/6/2018,1240,"9,925.28",ETC
4/7/2018,852,"7,136.90",ETC
4/8/2018,1131,"9,367.35",ETC
4/9/2018,1455,"10,527.04",ETC
4/10/2018,1521,"11,307.02",ETC
4/11/2018,1500,"11,236.49",ETC
4/12/2018,1502,"14,206.95",ETC
4/13/2018,1198,"13,023.83",ETC
4/14/2018,750,"5,595.62",ETC
4/15/2018,993,"7,454.65",ETC
4/16/2018,1469,"9,816.99",ETC
4/17/2018,1460,"10,136.47",ETC
4/18/2018,1414,"10,049.65",ETC
4/19/2018,1333,"9,949.44",ETC
4/20/2018,1111,"9,589.15",ETC
4/21/2018,973,"7,989.66",ETC
4/22/2018,1220,"9,438.14",ETC
4/23/2018,1381,"9,662.33",ETC
4/24/2018,1172,"8,758.43",ETC
4/25/2018,1354,"11,952.85",ETC
