Business Date,Business Hour,Sales,Checks
7/1/2017,11:00:00,19.72,3
7/1/2017,11:00:00,9.68,1
7/1/2017,11:00:00,5.58,2
7/1/2017,12:00:00,19.12,3
7/1/2017,12:00:00,34.9,3
7/1/2017,12:00:00,2.5,1
7/1/2017,12:00:00,12.84,3
7/1/2017,13:00:00,19.62,3
7/1/2017,13:00:00,2.24,1
7/1/2017,13:00:00,34.26,1
7/1/2017,13:00:00,16.76,1
7/1/2017,14:00:00,43.78,5
7/1/2017,14:00:00,14.06,3
7/1/2017,14:00:00,16.01,2
7/1/2017,14:00:00,11.04,2
7/1/2017,15:00:00,84,3
7/1/2017,15:00:00,8.93,1
7/1/2017,15:00:00,10.23,1
7/1/2017,16:00:00,15.05,1
7/1/2017,16:00:00,33.7,2
7/1/2017,16:00:00,2.39,1
7/1/2017,17:00:00,35.91,5
7/1/2017,17:00:00,93.88,7
7/1/2017,17:00:00,41.31,2
7/1/2017,17:00:00,26.3,2
7/2/2017,11:00:00,59.89,2
7/2/2017,11:00:00,40.26,5
7/2/2017,11:00:00,20.82,2
7/2/2017,12:00:00,0,0
7/2/2017,12:00:00,5.34,1
7/2/2017,12:00:00,49.03,3
7/2/2017,12:00:00,21.96,5
7/2/2017,13:00:00,13.61,2
7/2/2017,13:00:00,29.42,4
7/2/2017,13:00:00,10.49,1
7/2/2017,14:00:00,5.77,2
7/2/2017,14:00:00,100.96,8
7/2/2017,14:00:00,41.52,3
7/2/2017,14:00:00,3.39,1
7/2/2017,15:00:00,33.15,7
7/2/2017,15:00:00,1.69,1
7/2/2017,15:00:00,17.02,4
7/2/2017,16:00:00,18.36,3
7/2/2017,16:00:00,14.86,3
7/2/2017,16:00:00,19.25,2
7/2/2017,17:00:00,62.35,5
7/2/2017,17:00:00,21.87,4
7/2/2017,17:00:00,61.84,1
7/2/2017,17:00:00,42.33,6
7/3/2017,8:00:00,25.87,4
7/3/2017,8:00:00,11.02,2
7/3/2017,8:00:00,11.15,3
7/3/2017,8:00:00,14.74,2
7/3/2017,9:00:00,10.17,3
7/3/2017,9:00:00,23.03,6
7/3/2017,9:00:00,23.63,4
7/3/2017,9:00:00,6.18,2
7/3/2017,10:00:00,1.69,1
7/3/2017,10:00:00,2.19,1
7/3/2017,10:00:00,14.46,4
7/3/2017,10:00:00,11.22,4
7/3/2017,11:00:00,8.07,1
7/3/2017,11:00:00,21.65,1
7/3/2017,11:00:00,25.3,7
7/3/2017,12:00:00,43.33,2
7/3/2017,12:00:00,24.84,7
7/3/2017,12:00:00,28.22,3
7/3/2017,12:00:00,28.37,6
7/3/2017,13:00:00,22.91,5
7/3/2017,13:00:00,5.05,1
7/3/2017,13:00:00,1.99,1
