Business Date,Business Hour,Sales,Checks
8/31/2017,"23:00:00
:00:00",55.75,6
10/25/2017,"17:00:00
:00:00",161.04,26
10/27/2017,"18:00:00
:00:00",181.42,29
10/27/2017,"16:00:00
:00:00",104.54,15
11/8/2017,"15:00:00
:00:00",101.09,12
8/26/2017,"15:00:00
:00:00",20.32,4
7/7/2017,"12:00:00
:00:00",12.88,2
11/19/2017,"23:00:00
:00:00",148.05,9
7/17/2017,"12:00:00
:00:00",31.42,11
7/12/2017,"11:00:00
:00:00",26.71,2
8/23/2017,"18:00:00
:00:00",199.99,28
7/11/2017,"19:00:00
:00:00",10.38,3
11/13/2017,"10:00:00
:00:00",131.62,36
9/15/2017,"20:00:00
:00:00",71.2,17
11/13/2017,"8:00:00
:00:00",76.56,15
7/17/2017,"14:00:00
:00:00",20.87,3
8/10/2017,"15:00:00
:00:00",3.87,2
9/30/2017,"11:00:00
:00:00",100.41,10
12/16/2017,"19:00:00
:00:00",52.63,12
10/2/2017,"12:00:00
:00:00",94.95,20
8/7/2017,"9:00:00
:00:00",1.69,1
8/21/2017,"10:00:00
:00:00",62.01,7
12/3/2017,"13:00:00
:00:00",129.61,23
11/6/2017,"18:00:00
:00:00",165.29,23
8/28/2017,"10:00:00
:00:00",77.07,14
9/14/2017,"13:00:00
:00:00",255.25,47
12/15/2017,"12:00:00
:00:00",109.17,18
8/21/2017,"14:00:00
:00:00",19.83,7
9/11/2017,"22:00:00
:00:00",160.44,20
12/11/2017,"18:00:00
:00:00",136.16,29
8/25/2017,"8:00:00
:00:00",1.75,1
8/23/2017,"11:00:00
:00:00",96.48,10
11/8/2017,"11:00:00
:00:00",107.72,15
8/2/2017,"10:00:00
:00:00",5.96,2
10/12/2017,"12:00:00
:00:00",122.27,22
10/17/2017,"16:00:00
:00:00",95.22,14
10/6/2017,"10:00:00
:00:00",43.67,16
9/9/2017,"12:00:00
:00:00",135.9,19
11/19/2017,"16:00:00
:00:00",55.15,10
11/18/2017,"20:00:00
:00:00",127.35,21
