DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity
2017-07-01T00:54:00,75,0,88
2017-07-01T01:54:00,76,0,88
2017-07-01T02:54:00,75,0,90
2017-07-01T03:54:00,75,0,90
2017-07-01T04:54:00,75,0,90
2017-07-01T05:54:00,76,0,88
2017-07-01T06:54:00,76,0,88
2017-07-01T07:54:00,80,0,76
2017-07-01T08:54:00,81,0,74
2017-07-01T09:54:00,82,0,72
2017-07-01T10:54:00,84,0,67
2017-07-01T11:54:00,86,0,65
2017-07-01T12:54:00,86,0,65
2017-07-01T13:54:00,90,0,59
2017-07-01T14:54:00,90,0,58
2017-07-01T15:54:00,89,0,57
2017-07-01T16:54:00,89,0,57
2017-07-01T17:54:00,88,0,61
2017-07-01T18:54:00,86,0,70
2017-07-01T19:54:00,85,0,59
2017-07-01T20:54:00,80,0,74
2017-07-01T21:54:00,78,0,82
2017-07-01T22:54:00,77,0,85
2017-07-01T23:54:00,78,0,85
2017-07-02T00:54:00,78,0,87
2017-07-02T01:54:00,78,0,87
2017-07-02T02:54:00,77,0,90
2017-07-02T03:54:00,74,0,94
2017-07-02T04:54:00,72,0,100
2017-07-02T05:54:00,74,0,97
2017-07-02T06:54:00,77,0,90
2017-07-02T07:54:00,79,0,85
2017-07-02T08:54:00,82,0,69
2017-07-02T09:54:00,85,0,63
2017-07-02T10:54:00,86,0,61
2017-07-02T11:54:00,88,0,59
2017-07-02T12:54:00,86,0,63
2017-07-02T13:54:00,87,0,55
2017-07-02T14:54:00,88,0,55
2017-07-02T15:54:00,88,0,55
2017-07-02T16:54:00,79,0.04,77
2017-07-02T17:54:00,78,0.11,85
2017-07-02T18:54:00,76,0,91
2017-07-02T19:54:00,75,0,94
2017-07-02T20:54:00,75,0,90
2017-07-02T21:54:00,76,0,88
2017-07-02T22:54:00,75,0,90
2017-07-02T23:54:00,75,0,90
2017-07-03T00:54:00,74,0,94
2017-07-03T01:54:00,74,0,94
2017-07-03T02:54:00,73,0,96
2017-07-03T03:54:00,74,0,97
2017-07-03T04:54:00,72,0,97
2017-07-03T05:54:00,73,0,96
2017-07-03T06:54:00,78,0,82
2017-07-03T07:54:00,82,0,63
2017-07-03T08:54:00,84,0,59
2017-07-03T09:54:00,86,0,57
2017-07-03T10:54:00,87,0,50
2017-07-03T11:54:00,89,0,45
2017-07-03T12:54:00,91,0,42
2017-07-03T13:54:00,93,0,37
2017-07-03T14:54:00,92,0,37
2017-07-03T15:54:00,92,0,36
2017-07-03T16:54:00,88,0,45
2017-07-03T17:54:00,88,0,46
2017-07-03T18:54:00,85,0,59
2017-07-03T19:54:00,80,0,74
2017-07-03T20:54:00,77,0,82
2017-07-03T21:54:00,77,0,79
2017-07-03T22:54:00,76,0,82
2017-07-03T23:54:00,75,0,84
2017-07-04T00:54:00,74,0,91
2017-07-04T01:54:00,73,0,94
2017-07-04T02:54:00,73,0,94
2017-07-04T03:54:00,73,0,94
2017-07-04T04:54:00,71,0,96
2017-07-04T05:54:00,73,0,96
2017-07-04T06:54:00,75,0,94
2017-07-04T07:54:00,78,0,85
2017-07-04T08:54:00,80,0,76
2017-07-04T09:54:00,85,0,68
2017-07-04T10:54:00,86,0,65
2017-07-04T11:54:00,88,0,57
2017-07-04T12:54:00,85,0,57
2017-07-04T13:54:00,84,0.01,74
2017-07-04T14:54:00,86,0,63
2017-07-04T15:54:00,87,0,59
2017-07-04T16:54:00,83,0,65
2017-07-04T17:54:00,79,0,69
2017-07-04T18:54:00,78,0,79
2017-07-04T19:54:00,76,0,91
2017-07-04T20:54:00,76,0,91
2017-07-04T21:54:00,76,0,85
2017-07-04T22:54:00,75,0,90
2017-07-04T23:54:00,75,0,90
2017-07-05T00:54:00,74,0,94
2017-07-05T01:54:00,74,0,94
2017-07-05T02:54:00,73,0,96
2017-07-05T03:54:00,73,0,96
2017-07-05T04:54:00,73,0,94
2017-07-05T05:54:00,74,0,94
2017-07-05T06:54:00,76,0,88
2017-07-05T07:54:00,77,0,85
2017-07-05T08:54:00,79,0,79
2017-07-05T09:54:00,81,0,77
2017-07-05T10:54:00,84,0,67
2017-07-05T11:54:00,85,0,68
2017-07-05T12:54:00,88,0,59
2017-07-05T13:54:00,88,0,57
2017-07-05T14:54:00,77,0,85
2017-07-05T15:54:00,74,0,94
2017-07-05T16:54:00,73,0.17,100
2017-07-05T17:54:00,75,0.16,96
2017-07-05T18:54:00,76,0,97
2017-07-05T19:54:00,75,0.03,100
2017-07-05T20:54:00,75,0.01,100
2017-07-05T21:54:00,73,0.12,100
