,DateTime,Sales,Checks,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,Day of Week,Month,Hour,Quarter,FY,Week Number
0,2017-07-01 11:00:00,34.98,6,86.0,0.0,65.0,5,7,11,2018Q1,2018,26
1,2017-07-01 12:00:00,69.36,10,86.0,0.0,65.0,5,7,12,2018Q1,2018,26
2,2017-07-01 13:00:00,72.88,6,90.0,0.0,59.0,5,7,13,2018Q1,2018,26
3,2017-07-01 14:00:00,84.89000000000001,12,90.0,0.0,58.0,5,7,14,2018Q1,2018,26
4,2017-07-01 15:00:00,103.16000000000001,5,89.0,0.0,57.0,5,7,15,2018Q1,2018,26
5,2017-07-01 16:00:00,51.14,4,89.0,0.0,57.0,5,7,16,2018Q1,2018,26
6,2017-07-01 17:00:00,197.4,16,88.0,0.0,61.0,5,7,17,2018Q1,2018,26
7,2017-07-02 11:00:00,120.97,9,88.0,0.0,59.0,6,7,11,2018Q1,2018,26
8,2017-07-02 12:00:00,76.33000000000001,9,86.0,0.0,63.0,6,7,12,2018Q1,2018,26
9,2017-07-02 13:00:00,53.52,7,87.0,0.0,55.0,6,7,13,2018Q1,2018,26
10,2017-07-02 14:00:00,151.64,14,88.0,0.0,55.0,6,7,14,2018Q1,2018,26
11,2017-07-02 15:00:00,51.86,12,88.0,0.0,55.0,6,7,15,2018Q1,2018,26
12,2017-07-02 16:00:00,52.47,8,79.0,0.04,77.0,6,7,16,2018Q1,2018,26
13,2017-07-02 17:00:00,188.39,16,78.0,0.11,85.0,6,7,17,2018Q1,2018,26
14,2017-07-03 08:00:00,62.78,11,84.0,0.0,59.0,0,7,8,2018Q1,2018,27
15,2017-07-03 09:00:00,63.01,15,86.0,0.0,57.0,0,7,9,2018Q1,2018,27
16,2017-07-03 10:00:00,29.560000000000002,10,87.0,0.0,50.0,0,7,10,2018Q1,2018,27
17,2017-07-03 11:00:00,55.019999999999996,9,89.0,0.0,45.0,0,7,11,2018Q1,2018,27
18,2017-07-03 12:00:00,124.76,18,91.0,0.0,42.0,0,7,12,2018Q1,2018,27
19,2017-07-03 13:00:00,29.95,7,93.0,0.0,37.0,0,7,13,2018Q1,2018,27
20,2017-07-03 14:00:00,71.90999999999998,13,92.0,0.0,37.0,0,7,14,2018Q1,2018,27
21,2017-07-03 15:00:00,122.01,15,92.0,0.0,36.0,0,7,15,2018Q1,2018,27
22,2017-07-03 16:00:00,68.82000000000001,8,88.0,0.0,45.0,0,7,16,2018Q1,2018,27
23,2017-07-03 17:00:00,108.38,17,88.0,0.0,46.0,0,7,17,2018Q1,2018,27
24,2017-07-03 18:00:00,170.98000000000002,29,85.0,0.0,59.0,0,7,18,2018Q1,2018,27
25,2017-07-03 19:00:00,154.46,26,80.0,0.0,74.0,0,7,19,2018Q1,2018,27
26,2017-07-04 13:00:00,63.42,1,84.0,0.01,74.0,1,7,13,2018Q1,2018,27
27,2017-07-05 08:00:00,93.14999999999999,20,79.0,0.0,79.0,2,7,8,2018Q1,2018,27
28,2017-07-05 09:00:00,92.3,16,81.0,0.0,77.0,2,7,9,2018Q1,2018,27
29,2017-07-05 10:00:00,52.86,10,84.0,0.0,67.0,2,7,10,2018Q1,2018,27
30,2017-07-05 11:00:00,69.58,14,85.0,0.0,68.0,2,7,11,2018Q1,2018,27
31,2017-07-05 12:00:00,131.49,28,88.0,0.0,59.0,2,7,12,2018Q1,2018,27
32,2017-07-05 13:00:00,99.67000000000002,13,88.0,0.0,57.0,2,7,13,2018Q1,2018,27
33,2017-07-05 14:00:00,126.93,16,77.0,0.0,85.0,2,7,14,2018Q1,2018,27
34,2017-07-05 15:00:00,132.94,26,74.0,0.0,94.0,2,7,15,2018Q1,2018,27
35,2017-07-05 16:00:00,47.26,8,73.0,0.17,100.0,2,7,16,2018Q1,2018,27
36,2017-07-05 17:00:00,309.48,18,75.0,0.16,96.0,2,7,17,2018Q1,2018,27
37,2017-07-05 18:00:00,235.97,41,76.0,0.0,97.0,2,7,18,2018Q1,2018,27
38,2017-07-05 19:00:00,154.5,17,75.0,0.03,100.0,2,7,19,2018Q1,2018,27
39,2017-07-06 08:00:00,86.09,20,76.0,0.0,85.0,3,7,8,2018Q1,2018,27
40,2017-07-06 09:00:00,82.95,13,77.0,0.0,82.0,3,7,9,2018Q1,2018,27
41,2017-07-06 10:00:00,31.71,7,79.0,0.0,79.0,3,7,10,2018Q1,2018,27
42,2017-07-06 11:00:00,85.52000000000001,10,83.0,0.0,70.0,3,7,11,2018Q1,2018,27
43,2017-07-06 12:00:00,208.41,34,86.0,0.0,63.0,3,7,12,2018Q1,2018,27
44,2017-07-06 13:00:00,109.94,15,86.0,0.0,63.0,3,7,13,2018Q1,2018,27
45,2017-07-06 14:00:00,241.29,17,87.0,0.0,57.0,3,7,14,2018Q1,2018,27
46,2017-07-06 15:00:00,155.59,10,88.0,0.0,57.0,3,7,15,2018Q1,2018,27
47,2017-07-06 16:00:00,189.53,17,88.0,0.0,59.0,3,7,16,2018Q1,2018,27
48,2017-07-06 17:00:00,161.6,23,87.0,0.0,63.0,3,7,17,2018Q1,2018,27
49,2017-07-06 18:00:00,380.29,49,84.0,0.0,72.0,3,7,18,2018Q1,2018,27
50,2017-07-06 19:00:00,158.32999999999998,19,81.0,0.0,79.0,3,7,19,2018Q1,2018,27
51,2017-07-07 08:00:00,129.78,27,82.0,0.0,65.0,4,7,8,2018Q1,2018,27
52,2017-07-07 09:00:00,226.54,13,86.0,0.0,59.0,4,7,9,2018Q1,2018,27
53,2017-07-07 10:00:00,43.82,7,85.0,0.0,59.0,4,7,10,2018Q1,2018,27
54,2017-07-07 11:00:00,71.75,11,86.0,0.0,57.0,4,7,11,2018Q1,2018,27
55,2017-07-07 12:00:00,114.59,20,83.0,0.0,65.0,4,7,12,2018Q1,2018,27
56,2017-07-07 13:00:00,101.19999999999999,13,86.0,0.0,57.0,4,7,13,2018Q1,2018,27
57,2017-07-07 14:00:00,106.27,12,89.0,0.0,48.0,4,7,14,2018Q1,2018,27
58,2017-07-07 15:00:00,103.76,16,87.0,0.0,55.0,4,7,15,2018Q1,2018,27
59,2017-07-07 16:00:00,81.05999999999999,12,89.0,0.0,52.0,4,7,16,2018Q1,2018,27
60,2017-07-07 17:00:00,261.65,17,88.0,0.0,52.0,4,7,17,2018Q1,2018,27
61,2017-07-07 18:00:00,159.26999999999998,20,86.0,0.0,57.0,4,7,18,2018Q1,2018,27
62,2017-07-07 19:00:00,89.25,12,79.0,0.0,77.0,4,7,19,2018Q1,2018,27
63,2017-07-08 11:00:00,188.54999999999998,9,90.0,0.0,45.0,5,7,11,2018Q1,2018,27
